DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
179,Adelaide,SA,17694,Kate,ELLIS,Australian Labor Party,ALP
197,Aston,VIC,17236,Chris,PEARCE,Liberal,LP
198,Ballarat,VIC,18094,Catherine,KING,Australian Labor Party,ALP
103,Banks,NSW,18021,Daryl,MELHAM,Australian Labor Party,ALP
180,Barker,SA,17668,Patrick,SECKER,Liberal,LP
104,Barton,NSW,18038,Robert,McCLELLAND,Australian Labor Party,ALP
192,Bass,TAS,17495,Jodie,CAMPBELL,Australian Labor Party,ALP
199,Batman,VIC,18024,Martin,FERGUSON,Australian Labor Party,ALP
200,Bendigo,VIC,18031,Steve,GIBBONS,Australian Labor Party,ALP
105,Bennelong,NSW,18018,Maxine,McKEW,Australian Labor Party,ALP
106,Berowra,NSW,17873,Philip,RUDDOCK,Liberal,LP
304,Blair,QLD,17504,Shayne Kenneth,NEUMANN,Australian Labor Party,ALP
107,Blaxland,NSW,18160,Jason,CLARE,Australian Labor Party,ALP
310,Bonner,QLD,17612,Kerry,REA,Australian Labor Party,ALP
182,Boothby,SA,17678,Andrew,SOUTHCOTT,Liberal,LP
155,Bowman,QLD,17714,Andrew,LAMING,Liberal,LP
193,Braddon,TAS,17521,Sid,SIDEBOTTOM,Australian Labor Party,ALP
108,Bradfield,NSW,17850,Brendan,NELSON,Liberal,LP
235,Brand,WA,17456,Gary,GRAY,Australian Labor Party,ALP
156,Brisbane,QLD,17509,Arch,BEVIS,Australian Labor Party,ALP
201,Bruce,VIC,18035,Alan,GRIFFIN,Australian Labor Party,ALP
109,Calare,NSW,17206,John,COBB,The Nationals,NP
203,Calwell,VIC,18045,Maria,VAMVAKINOU,Australian Labor Party,ALP
101,Canberra,ACT,17614,Annette,ELLIS,Australian Labor Party,ALP
236,Canning,WA,17223,Don,RANDALL,Liberal,LP
157,Capricornia,QLD,17506,Kirsten,LIVERMORE,Australian Labor Party,ALP
204,Casey,VIC,17276,Tony,SMITH,Liberal,LP
110,Charlton,NSW,18085,Greg,COMBET,Australian Labor Party,ALP
111,Chifley,NSW,18042,Roger,PRICE,Australian Labor Party,ALP
205,Chisholm,VIC,18049,Anna,BURKE,Australian Labor Party,ALP
112,Cook,NSW,17914,Scott,MORRISON,Liberal,LP
207,Corangamite,VIC,18083,Darren,CHEESEMAN,Australian Labor Party,ALP
208,Corio,VIC,18033,Richard,MARLES,Australian Labor Party,ALP
237,Cowan,WA,17211,Luke,SIMPKINS,Liberal,LP
113,Cowper,NSW,17201,Luke,HARTSUYKER,The Nationals,NP
114,Cunningham,NSW,18098,Sharon,BIRD,Australian Labor Party,ALP
238,Curtin,WA,17212,Julie,BISHOP,Liberal,LP
158,Dawson,QLD,17505,James,BIDGOOD,Australian Labor Party,ALP
209,Deakin,VIC,18060,Mike,SYMON,Australian Labor Party,ALP
194,Denison,TAS,17498,Duncan,KERR,Australian Labor Party,ALP
252,Dickson,QLD,17745,Peter,DUTTON,Liberal,LP
115,Dobell,NSW,18023,Craig,THOMSON,Australian Labor Party,ALP
210,Dunkley,VIC,17252,Bruce,BILLSON,Liberal,LP
117,Eden-Monaro,NSW,18043,Mike,KELLY,Australian Labor Party,ALP
159,Fadden,QLD,17709,Stuart,ROBERT,Liberal,LP
160,Fairfax,QLD,17743,Alex,SOMLYAY,Liberal,LP
118,Farrer,NSW,17852,Sussan,LEY,Liberal,LP
161,Fisher,QLD,17764,Peter,SLIPPER,Liberal,LP
211,Flinders,VIC,17291,Greg,HUNT,Liberal,LP
311,Flynn,QLD,17507,Chris,TREVOR,Australian Labor Party,ALP
162,Forde,QLD,17525,Brett Blair,RAGUSE,Australian Labor Party,ALP
239,Forrest,WA,17220,Nola,MARINO,Liberal,LP
119,Fowler,NSW,18113,Julia,IRWIN,Australian Labor Party,ALP
195,Franklin,TAS,17499,Julie,COLLINS,Australian Labor Party,ALP
102,Fraser,ACT,17613,Bob,McMULLAN,Australian Labor Party,ALP
240,Fremantle,WA,17470,Melissa,PARKE,Australian Labor Party,ALP
212,Gellibrand,VIC,18126,Nicola,ROXON,Australian Labor Party,ALP
120,Gilmore,NSW,17879,Joanna,GASH,Liberal,LP
213,Gippsland,VIC,17307,Peter,McGAURAN,The Nationals,NP
214,Goldstein,VIC,17263,Andrew,ROBB,Liberal,LP
309,Gorton,VIC,18141,Brendan,O'CONNOR,Australian Labor Party,ALP
121,Grayndler,NSW,18196,Anthony,ALBANESE,Australian Labor Party,ALP
122,Greenway,NSW,17861,Louise,MARKUS,Liberal,LP
183,Grey,SA,17679,Rowan,RAMSEY,Liberal,LP
163,Griffith,QLD,17526,Kevin,RUDD,Australian Labor Party,ALP
164,Groom,QLD,17792,Ian,MACFARLANE,Liberal,LP
305,Hasluck,WA,17471,Sharryn,JACKSON,Australian Labor Party,ALP
165,Herbert,QLD,17726,Peter,LINDSAY,Liberal,LP
215,Higgins,VIC,17294,Peter,COSTELLO,Liberal,LP
185,Hindmarsh,SA,17787,Steve,GEORGANAS,Australian Labor Party,ALP
166,Hinkler,QLD,17161,Paul,NEVILLE,The Nationals,NP
216,Holt,VIC,18358,Anthony,BYRNE,Australian Labor Party,ALP
217,Hotham,VIC,18189,Simon,CREAN,Australian Labor Party,ALP
