StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
VIC,213,Gippsland,3713,Alberton,213,64.55,117,35.45,330,-1.73
VIC,213,Gippsland,3718,Bairnsdale,1280,65.74,667,34.26,1947,4.04
VIC,213,Gippsland,3719,Bairnsdale East,269,58.61,190,41.39,459,6.33
VIC,213,Gippsland,3720,Bairnsdale West,1176,64.19,656,35.81,1832,0.85
VIC,213,Gippsland,3721,Bemm River,30,68.18,14,31.82,44,0.44
VIC,213,Gippsland,3723,Benambra,82,81.19,19,18.81,101,0.76
VIC,213,Gippsland,3724,Bendoc,34,59.65,23,40.35,57,-9.36
VIC,213,Gippsland,3727,Boisdale,166,77.21,49,22.79,215,6.54
VIC,213,Gippsland,3728,Bonang,16,61.54,10,38.46,26,12.52
VIC,213,Gippsland,3729,Boolarra,325,51.67,304,48.33,629,5.59
VIC,213,Gippsland,3731,Briagolong,261,55.41,210,44.59,471,3.47
VIC,213,Gippsland,3732,Bruthen,410,58.99,285,41.01,695,5.2
VIC,213,Gippsland,3733,Buchan,144,62.88,85,37.12,229,-0.49
VIC,213,Gippsland,3736,Bundalaguah,225,79.23,59,20.77,284,5.79
VIC,213,Gippsland,3738,Cann River,112,62.22,68,37.78,180,4.66
VIC,213,Gippsland,3740,Carrajung South,45,67.16,22,32.84,67,22.16
VIC,213,Gippsland,4387,Churchill,837,44.12,1060,55.88,1897,8.61
VIC,213,Gippsland,3743,Cobains,135,84.91,24,15.09,159,5.12
VIC,213,Gippsland,31658,Coongulla,75,66.96,37,33.04,112,15.8
VIC,213,Gippsland,3744,Cowwarr,174,72.2,67,27.8,241,10.42
VIC,213,Gippsland,3745,Dargo,59,77.63,17,22.37,76,2.02
VIC,213,Gippsland,3747,Denison,130,88.44,17,11.56,147,2.15
VIC,213,Gippsland,3748,Devon North,193,72.01,75,27.99,268,3.33
VIC,213,Gippsland,3753,Eagle Point,369,67.34,179,32.66,548,3.31
VIC,213,Gippsland,3741,Ellaswood,184,74.49,63,25.51,247,-3.14
VIC,213,Gippsland,3755,Ensay,75,69.44,33,30.56,108,8.18
VIC,213,Gippsland,3756,Fernbank,58,74.36,20,25.64,78,2.93
VIC,213,Gippsland,3762,Genoa,40,60.61,26,39.39,66,15.87
VIC,213,Gippsland,3763,Glengarry,508,69.78,220,30.22,728,9.44
VIC,213,Gippsland,3765,Glenmaggie,72,63.16,42,36.84,114,0.82
VIC,213,Gippsland,3766,Golden Beach,87,45.79,103,54.21,190,5.42
VIC,213,Gippsland,3767,Gormandale,224,71.11,91,28.89,315,9.53
VIC,213,Gippsland,4396,Hazelwood North,374,60.52,244,39.48,618,7.21
VIC,213,Gippsland,3770,Heyfield,805,68.63,368,31.37,1173,5.83
VIC,213,Gippsland,31662,Johnsonville,454,70.17,193,29.83,647,5.36
VIC,213,Gippsland,3774,Kilmany,67,80.72,16,19.28,83,14.05
VIC,213,Gippsland,3778,Lakes Entrance,1611,67.83,764,32.17,2375,8.38
VIC,213,Gippsland,46541,Lakes Entrance East,437,71.41,175,28.59,612,10.39
VIC,213,Gippsland,3781,Lindenow,526,78.98,140,21.02,666,0.75
VIC,213,Gippsland,3783,Loch Sport,201,51.94,186,48.06,387,3
VIC,213,Gippsland,3784,Longford,352,64.71,192,35.29,544,5.51
VIC,213,Gippsland,3785,Lucknow,720,66.91,356,33.09,1076,3.17
VIC,213,Gippsland,3786,Maffra,1530,67.34,742,32.66,2272,7.72
VIC,213,Gippsland,3787,Mallacoota,266,48.45,283,51.55,549,-1.22
VIC,213,Gippsland,3789,Marlo,188,64.16,105,35.84,293,8.34
VIC,213,Gippsland,3791,Meerlieu,89,68.99,40,31.01,129,-1.01
VIC,213,Gippsland,3792,Metung,339,68.21,158,31.79,497,6.15
VIC,213,Gippsland,4408,Morwell,459,46.69,524,53.31,983,8.89
VIC,213,Gippsland,4409,Morwell Central,753,50.3,744,49.7,1497,8.35
VIC,213,Gippsland,4410,Morwell Estate,671,42.31,915,57.69,1586,7.71
VIC,213,Gippsland,4411,Morwell North,196,43.95,250,56.05,446,6.12
VIC,213,Gippsland,3799,Nambrok,157,87.22,23,12.78,180,0.8
VIC,213,Gippsland,3802,Newmerella,236,71.73,93,28.27,329,1.02
VIC,213,Gippsland,3803,Newry,219,84.88,39,15.12,258,6.28
VIC,213,Gippsland,3804,Nicholson,361,62.67,215,37.33,576,2.49
VIC,213,Gippsland,3805,Nowa Nowa,109,58.6,77,41.4,186,6.34
VIC,213,Gippsland,3806,Nungurner,108,59.02,75,40.98,183,1.58
VIC,213,Gippsland,3807,Omeo,160,70.8,66,29.2,226,7.13
VIC,213,Gippsland,3808,Orbost,807,68.27,375,31.73,1182,2.72
VIC,213,Gippsland,3810,Paynesville,1074,64.62,588,35.38,1662,2.82
VIC,213,Gippsland,3811,Port Albert,113,56.22,88,43.78,201,1.15
VIC,213,Gippsland,3815,Rosedale,646,66.32,328,33.68,974,9.8
VIC,213,Gippsland,3817,Sale,1271,64.32,705,35.68,1976,2.72
VIC,213,Gippsland,3818,Sale East,1043,66.65,522,33.35,1565,3.38
