StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
NSW,130,Lyne,452,Beechwood,0,0,0,0,0,0
NSW,130,Lyne,1566,Bonny Hills,0,0,0,0,0,0
NSW,130,Lyne,1571,Burrell Creek,0,0,0,0,0,0
NSW,130,Lyne,461,Byabarra,0,0,0,0,0,0
NSW,130,Lyne,1574,Chatham,0,0,0,0,0,0
NSW,130,Lyne,467,Comboyne,0,0,0,0,0,0
NSW,130,Lyne,1577,Coopernook,0,0,0,0,0,0
NSW,130,Lyne,468,Crescent Head,0,0,0,0,0,0
NSW,130,Lyne,1579,Crowdy Head,0,0,0,0,0,0
NSW,130,Lyne,1580,Cundletown,0,0,0,0,0,0
NSW,130,Lyne,32374,Diamond Beach,0,0,0,0,0,0
NSW,130,Lyne,1581,Dunbogan,0,0,0,0,0,0
NSW,130,Lyne,1583,Dyers Crossing,0,0,0,0,0,0
NSW,130,Lyne,1584,Elands,0,0,0,0,0,0
NSW,130,Lyne,33903,Emerald Downs,0,0,0,0,0,0
NSW,130,Lyne,1594,Hallidays Point,0,0,0,0,0,0
NSW,130,Lyne,1595,Hannam Vale,0,0,0,0,0,0
NSW,130,Lyne,1596,Harrington,0,0,0,0,0,0
NSW,130,Lyne,1598,Herons Creek,0,0,0,0,0,0
NSW,130,Lyne,477,Hibbard,0,0,0,0,0,0
NSW,130,Lyne,478,Hollisdale,0,0,0,0,0,0
NSW,130,Lyne,479,Huntingdon,0,0,0,0,0,0
NSW,130,Lyne,501,Innes Lake,0,0,0,0,0,0
NSW,130,Lyne,1599,Johns River,0,0,0,0,0,0
NSW,130,Lyne,1601,Kendall,0,0,0,0,0,0
NSW,130,Lyne,1602,Kew,0,0,0,0,0,0
NSW,130,Lyne,1603,Killabakh,0,0,0,0,0,0
NSW,130,Lyne,32375,King Creek,0,0,0,0,0,0
NSW,130,Lyne,1604,Krambach,0,0,0,0,0,0
NSW,130,Lyne,8868,Kundabung,0,0,0,0,0,0
NSW,130,Lyne,1605,Lake Cathie,0,0,0,0,0,0
NSW,130,Lyne,1606,Lansdowne,0,0,0,0,0,0
NSW,130,Lyne,1607,Laurieton,0,0,0,0,0,0
NSW,130,Lyne,488,Long Flat,0,0,0,0,0,0
NSW,130,Lyne,1609,Lorne,0,0,0,0,0,0
NSW,130,Lyne,1610,Manning Point,0,0,0,0,0,0
NSW,130,Lyne,1612,Marlee,0,0,0,0,0,0
NSW,130,Lyne,1614,Mitchells Island,0,0,0,0,0,0
NSW,130,Lyne,1615,Moorland,0,0,0,0,0,0
NSW,130,Lyne,1616,Mount George,0,0,0,0,0,0
NSW,130,Lyne,1623,North Haven,0,0,0,0,0,0
NSW,130,Lyne,1624,Old Bar,0,0,0,0,0,0
NSW,130,Lyne,1625,Oxley Island,0,0,0,0,0,0
NSW,130,Lyne,497,Pembrooke,0,0,0,0,0,0
NSW,130,Lyne,526,Port Macquarie,0,0,0,0,0,0
NSW,130,Lyne,499,Port Macquarie Central,0,0,0,0,0,0
NSW,130,Lyne,500,Port Macquarie East,0,0,0,0,0,0
NSW,130,Lyne,11941,Port Macquarie North Shore,0,0,0,0,0,0
NSW,130,Lyne,475,Port Macquarie South,0,0,0,0,0,0
NSW,130,Lyne,502,Port Macquarie West,0,0,0,0,0,0
NSW,130,Lyne,1627,Purfleet,0,0,0,0,0,0
NSW,130,Lyne,505,Rollands Plains,0,0,0,0,0,0
NSW,130,Lyne,31458,Settlement Shores,0,0,0,0,0,0
NSW,130,Lyne,33612,Special Hospital Team 1,0,0,0,0,0,0
NSW,130,Lyne,33673,Special Hospital Team 2,0,0,0,0,0,0
NSW,130,Lyne,33674,Special Hospital Team 3,0,0,0,0,0,0
NSW,130,Lyne,512,Tacking Point,0,0,0,0,0,0
NSW,130,Lyne,1642,Taree,0,0,0,0,0,0
NSW,130,Lyne,1643,Taree Central,0,0,0,0,0,0
NSW,130,Lyne,1645,Taree North,0,0,0,0,0,0
NSW,130,Lyne,1646,Taree West,0,0,0,0,0,0
NSW,130,Lyne,515,Telegraph Point,0,0,0,0,0,0
NSW,130,Lyne,1648,Tinonee,0,0,0,0,0,0
NSW,130,Lyne,1651,Upper Lansdowne,0,0,0,0,0,0
NSW,130,Lyne,524,Wauchope,0,0,0,0,0,0
NSW,130,Lyne,525,Wauchope South,0,0,0,0,0,0
NSW,130,Lyne,33909,West Haven,0,0,0,0,0,0
NSW,130,Lyne,1654,Wherrol Flat,0,0,0,0,0,0
NSW,130,Lyne,1656,Wingham,0,0,0,0,0,0
NSW,130,Lyne,1657,Wingham West,0,0,0,0,0,0
