StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
SA,188,Mayo,6857,Aberfoyle Park,0,0,0,0,0,0
SA,188,Mayo,31782,Aberfoyle Park North (Mayo),0,0,0,0,0,0
SA,188,Mayo,31740,Aberfoyle Park South,0,0,0,0,0,0
SA,188,Mayo,7156,Aldgate,0,0,0,0,0,0
SA,188,Mayo,7158,American River,0,0,0,0,0,0
SA,188,Mayo,7159,Ashbourne,0,0,0,0,0,0
SA,188,Mayo,7161,Basket Range,0,0,0,0,0,0
SA,188,Mayo,7162,Birdwood,0,0,0,0,0,0
SA,188,Mayo,7163,Bridgewater,0,0,0,0,0,0
SA,188,Mayo,7165,Brukunga,0,0,0,0,0,0
SA,188,Mayo,7166,Callington,0,0,0,0,0,0
SA,188,Mayo,7167,Charleston,0,0,0,0,0,0
SA,188,Mayo,7168,Cherry Gardens,0,0,0,0,0,0
SA,188,Mayo,7169,Clarendon,0,0,0,0,0,0
SA,188,Mayo,7170,Coromandel Valley (Mayo),0,0,0,0,0,0
SA,188,Mayo,7171,Crafers,0,0,0,0,0,0
SA,188,Mayo,7172,Cudlee Creek,0,0,0,0,0,0
SA,188,Mayo,7173,Currency Creek,0,0,0,0,0,0
SA,188,Mayo,7174,Delamere,0,0,0,0,0,0
SA,188,Mayo,7175,Echunga,0,0,0,0,0,0
SA,188,Mayo,33643,Flagstaff Hill (Mayo),0,0,0,0,0,0
SA,188,Mayo,7178,Forreston,0,0,0,0,0,0
SA,188,Mayo,7179,Goolwa,0,0,0,0,0,0
SA,188,Mayo,46417,Goolwa Central,0,0,0,0,0,0
SA,188,Mayo,7180,Gosse,0,0,0,0,0,0
SA,188,Mayo,7181,Gumeracha,0,0,0,0,0,0
SA,188,Mayo,7182,Hahndorf,0,0,0,0,0,0
SA,188,Mayo,33175,Happy Valley (Mayo),0,0,0,0,0,0
SA,188,Mayo,7183,Harrogate,0,0,0,0,0,0
SA,188,Mayo,7185,Hindmarsh Valley,0,0,0,0,0,0
SA,188,Mayo,7186,Hope Forest,0,0,0,0,0,0
SA,188,Mayo,7134,Houghton,0,0,0,0,0,0
SA,188,Mayo,7187,Inman Valley,0,0,0,0,0,0
SA,188,Mayo,7189,Kangarilla,0,0,0,0,0,0
SA,188,Mayo,7371,Kersbrook,0,0,0,0,0,0
SA,188,Mayo,7191,Kingscote,0,0,0,0,0,0
SA,188,Mayo,7192,Langhorne Creek,0,0,0,0,0,0
SA,188,Mayo,7193,Lenswood,0,0,0,0,0,0
SA,188,Mayo,7194,Littlehampton,0,0,0,0,0,0
SA,188,Mayo,7195,Lobethal,0,0,0,0,0,0
SA,188,Mayo,7196,Longwood,0,0,0,0,0,0
SA,188,Mayo,7197,Macclesfield,0,0,0,0,0,0
SA,188,Mayo,36828,Magill (Mayo),0,0,0,0,0,0
SA,188,Mayo,7200,Meadows,0,0,0,0,0,0
SA,188,Mayo,7201,Middleton,0,0,0,0,0,0
SA,188,Mayo,7202,Milang,0,0,0,0,0,0
SA,188,Mayo,7204,Montacute,0,0,0,0,0,0
SA,188,Mayo,7205,Mount Barker,0,0,0,0,0,0
SA,188,Mayo,46416,Mount Barker Central,0,0,0,0,0,0
SA,188,Mayo,7206,Mount Compass,0,0,0,0,0,0
SA,188,Mayo,7207,Mount Pleasant,0,0,0,0,0,0
SA,188,Mayo,7208,Mount Torrens,0,0,0,0,0,0
SA,188,Mayo,7212,Mylor,0,0,0,0,0,0
SA,188,Mayo,7214,Myponga,0,0,0,0,0,0
SA,188,Mayo,7215,Nairne,0,0,0,0,0,0
SA,188,Mayo,7216,Norton Summit,0,0,0,0,0,0
SA,188,Mayo,7160,Oakbank,0,0,0,0,0,0
SA,188,Mayo,7400,Paracombe,0,0,0,0,0,0
SA,188,Mayo,7219,Parawa,0,0,0,0,0,0
SA,188,Mayo,7220,Parndana,0,0,0,0,0,0
SA,188,Mayo,7221,Penneshaw,0,0,0,0,0,0
SA,188,Mayo,7222,Piccadilly,0,0,0,0,0,0
SA,188,Mayo,7223,Port Elliot,0,0,0,0,0,0
SA,188,Mayo,7224,Prospect Hill,0,0,0,0,0,0
SA,188,Mayo,7226,Second Valley,0,0,0,0,0,0
SA,188,Mayo,33188,Special Hospital Team 1,0,0,0,0,0,0
SA,188,Mayo,33189,Special Hospital Team 2,0,0,0,0,0,0
SA,188,Mayo,36815,Special Hospital Team 3,0,0,0,0,0,0
SA,188,Mayo,7421,Springton,0,0,0,0,0,0
SA,188,Mayo,7228,Stirling East,0,0,0,0,0,0
SA,188,Mayo,7229,Stirling West,0,0,0,0,0,0
SA,188,Mayo,7231,Strathalbyn,0,0,0,0,0,0
SA,188,Mayo,7232,Summertown,0,0,0,0,0,0
SA,188,Mayo,7233,Upper Sturt,0,0,0,0,0,0
SA,188,Mayo,7234,Uraidla,0,0,0,0,0,0
SA,188,Mayo,7235,Victor Harbor,0,0,0,0,0,0
SA,188,Mayo,7236,Victor Harbor East,0,0,0,0,0,0
SA,188,Mayo,7176,Victor Harbor South,0,0,0,0,0,0
SA,188,Mayo,7439,Williamstown,0,0,0,0,0,0
SA,188,Mayo,7240,Woodchester,0,0,0,0,0,0
SA,188,Mayo,7242,Woodside,0,0,0,0,0,0
SA,188,Mayo,7243,Yankalilla,0,0,0,0,0,0
