StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18901,ALLEN,Darryl,N,N
NSW,108,Bradfield,IND,Independent,18885,BUCKLEY,Brian,N,N
NSW,108,Bradfield,CCC,CCC,18891,BURT,Deborah,N,N
NSW,108,Bradfield,IND,Independent,18890,DOWLING,Philip,N,N
NSW,108,Bradfield,LP,Liberal,18883,FLETCHER,Paul William,Y,N
NSW,108,Bradfield,LDP,Liberal Democrats (LDP),18896,GABB,Lucy,N,N
NSW,108,Bradfield,GRN,The Greens,18894,GEMMELL,Susie,N,N
NSW,108,Bradfield,IND,Independent,18888,HANRAHAN,Peter William,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18902,HENG,Esther,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18909,HESTELOW,Andrew,N,N
NSW,108,Bradfield,IND,Independent,18879,KELLY,Simon Matthew,N,N
NSW,108,Bradfield,IND,Independent,18892,KOUTALIANOS,Bill,N,N
NSW,108,Bradfield,ASXP,Australian Sex Party,18886,LEISHMAN,Marianne,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18903,LUKE,Jodi,N,N
NSW,108,Bradfield,DLP,D.L.P. - Democratic Labor Party,18880,McCAFFREY,Simon,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18904,PEEBLES,Robyn,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18905,PENDER,Joseph Francis,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18906,PIX,David,N,N
NSW,108,Bradfield,EFN,Environmentalists for Nuclear Energy,18899,PRICE,Goronwy,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18907,THEW,Leighton,N,N
NSW,108,Bradfield,ON,One Nation,18889,WATERSON,Victor,N,N
NSW,108,Bradfield,CDP,Christian Democratic Party (Fred Nile Group),18908,WHITEHALL,James,N,N
