StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
NSW,108,Bradfield,115,Asquith (Bradfield),0,0,0,0,0,0
NSW,108,Bradfield,11935,Chatswood,0,0,0,0,0,0
NSW,108,Bradfield,2014,Chatswood East (Bradfield),0,0,0,0,0,0
NSW,108,Bradfield,2015,Chatswood North,0,0,0,0,0,0
NSW,108,Bradfield,11936,Chatswood West,0,0,0,0,0,0
NSW,108,Bradfield,83,Ferndale,0,0,0,0,0,0
NSW,108,Bradfield,194,Gordon,0,0,0,0,0,0
NSW,108,Bradfield,195,Gordon East,0,0,0,0,0,0
NSW,108,Bradfield,196,Gordon West,0,0,0,0,0,0
NSW,108,Bradfield,127,Hornsby Central (Bradfield),0,0,0,0,0,0
NSW,108,Bradfield,33771,Hornsby East,0,0,0,0,0,0
NSW,108,Bradfield,125,Hornsby Hospital,0,0,0,0,0,0
NSW,108,Bradfield,198,Killara,0,0,0,0,0,0
NSW,108,Bradfield,129,Kissing Point,0,0,0,0,0,0
NSW,108,Bradfield,130,Lady Davidson Hospital,0,0,0,0,0,0
NSW,108,Bradfield,201,Lindfield,0,0,0,0,0,0
NSW,108,Bradfield,203,Lindfield North,0,0,0,0,0,0
NSW,108,Bradfield,204,Lindfield West,0,0,0,0,0,0
NSW,108,Bradfield,100,Mowbray (Bradfield),0,0,0,0,0,0
NSW,108,Bradfield,206,Pymble,0,0,0,0,0,0
NSW,108,Bradfield,137,Pymble North,0,0,0,0,0,0
NSW,108,Bradfield,207,Pymble West,0,0,0,0,0,0
NSW,108,Bradfield,208,Roseville,0,0,0,0,0,0
NSW,108,Bradfield,2032,Roseville South,0,0,0,0,0,0
NSW,108,Bradfield,33599,Special Hospital Team 1,0,0,0,0,0,0
NSW,108,Bradfield,33804,Special Hospital Team 2,0,0,0,0,0,0
NSW,108,Bradfield,33805,Special Hospital Team 3,0,0,0,0,0,0
NSW,108,Bradfield,211,St Ives,0,0,0,0,0,0
NSW,108,Bradfield,212,St Ives Chase,0,0,0,0,0,0
NSW,108,Bradfield,213,St Ives North,0,0,0,0,0,0
NSW,108,Bradfield,188,St Ives Park,0,0,0,0,0,0
NSW,108,Bradfield,214,St Ives South,0,0,0,0,0,0
NSW,108,Bradfield,139,Turramurra,0,0,0,0,0,0
NSW,108,Bradfield,140,Turramurra Central,0,0,0,0,0,0
NSW,108,Bradfield,141,Turramurra North,0,0,0,0,0,0
NSW,108,Bradfield,142,Turramurra South,0,0,0,0,0,0
NSW,108,Bradfield,143,Wahroonga,0,0,0,0,0,0
NSW,108,Bradfield,144,Wahroonga East,0,0,0,0,0,0
NSW,108,Bradfield,145,Waitara (Bradfield),0,0,0,0,0,0
NSW,108,Bradfield,147,Warrawee,0,0,0,0,0,0
