StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
VIC,215,Higgins,IND,Independent,18882,BROHIER,Peter,N,N
VIC,215,Higgins,DEM,Australian Democrats,18897,COLLYER,David,N,N
VIC,215,Higgins,GRN,The Greens,18900,HAMILTON,Clive,N,N
VIC,215,Higgins,DLP,D.L.P. - Democratic Labor Party,18881,MULHOLLAND,John,N,N
VIC,215,Higgins,IND,Independent,18893,MURPHY,Stephen,N,N
VIC,215,Higgins,LP,Liberal,18887,O'DWYER,Kelly,Y,N
VIC,215,Higgins,ASXP,Australian Sex Party,18895,PATTEN,Fiona,N,N
VIC,215,Higgins,ON,One Nation,18878,RASKOVY,Steve,N,N
VIC,215,Higgins,LDP,Liberal Democrats (LDP),18898,ROBERTS,Isaac,N,N
VIC,215,Higgins,IND,Independent,18884,TOSCANO,Joseph,N,N
