StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
QLD,163,Griffith,BTA,Bullet Train For Australia,25277,ACKROYD,Anthony,N,N
QLD,163,Griffith,IND,Independent,25270,BOELE,Karel,N,N
QLD,163,Griffith,ALP,Australian Labor Party (State of Queensland),25268,BUTLER,Terri,Y,N
QLD,163,Griffith,GRN,The Greens,25276,EBBS,Geoff,N,N
QLD,163,Griffith,LNP,Liberal National Party of Queensland,25269,GLASSON,Bill,N,N
QLD,163,Griffith,SPP,Stable Population Party,25278,LAWRENCE,Timothy,N,N
QLD,163,Griffith,SPA,Secular Party of Australia,25272,REID,Anne,N,N
QLD,163,Griffith,KAP,Katter's Australian Party,25271,SAWYER,Ray,N,N
QLD,163,Griffith,PIR,Pirate Party Australia,25274,THOMAS,Melanie Rose,N,N
QLD,163,Griffith,FFP,Family First Party,25279,WILLIAMS,Christopher David,N,N
QLD,163,Griffith,IND,Independent,25275,WINDSOR,Travis James,N,N
