StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
QLD,163,Griffith,6303,Annerley (Griffith),324,66.53,163,33.47,487,5.04
QLD,163,Griffith,5564,Balmoral,771,50.06,769,49.94,1540,-0.07
QLD,163,Griffith,65515,BLV Griffith PPVC,17,68,8,32,25,-4.5
QLD,163,Griffith,65731,Brisbane GRIFFITH PPVC,964,48.81,1011,51.19,1975,2.28
QLD,163,Griffith,5567,Bulimba,1219,40.07,1823,59.93,3042,-1.82
QLD,163,Griffith,58814,Bulimba Heights,484,40.64,707,59.36,1191,1.97
QLD,163,Griffith,5568,Buranda,435,67.23,212,32.77,647,0.45
QLD,163,Griffith,6326,Buranda West,347,66.99,171,33.01,518,-5.86
QLD,163,Griffith,5569,Camp Hill,1473,49.1,1527,50.9,3000,-2.79
QLD,163,Griffith,5570,Cannon Hill,1431,56.34,1109,43.66,2540,1.47
QLD,163,Griffith,5571,Carina,973,54.91,799,45.09,1772,-1.26
QLD,163,Griffith,64623,Carina Heights (Griffith),1024,54.79,845,45.21,1869,-1.61
QLD,163,Griffith,37578,Carindale (Griffith),537,55.65,428,44.35,965,-2.76
QLD,163,Griffith,8865,Coorparoo,1523,56.28,1183,43.72,2706,-1.3
QLD,163,Griffith,32457,Coorparoo Central,743,48.28,796,51.72,1539,-0.81
QLD,163,Griffith,38269,Coorparoo GRIFFITH PPVC,2663,42.83,3555,57.17,6218,0.75
QLD,163,Griffith,6310,Coorparoo South,800,41.58,1124,58.42,1924,0.31
QLD,163,Griffith,30154,Divisional Office (PREPOLL),0,0,0,0,0,0
QLD,163,Griffith,5574,Dutton Park,849,67.7,405,32.3,1254,2.29
QLD,163,Griffith,5575,East Brisbane,1165,52.01,1075,47.99,2240,-1.31
QLD,163,Griffith,12016,Greenmeadows (Griffith),211,38.5,337,61.5,548,-7.09
QLD,163,Griffith,12056,Greenslopes,887,62.2,539,37.8,1426,2.44
QLD,163,Griffith,6313,Greenslopes South,614,55.57,491,44.43,1105,5.4
QLD,163,Griffith,32494,Hill End,1286,65.55,676,34.45,1962,1.95
QLD,163,Griffith,12057,Holland Park,495,52.11,455,47.89,950,-1.87
QLD,163,Griffith,6316,Holland Park Central,690,45.63,822,54.37,1512,-1.17
QLD,163,Griffith,12015,Holland Park East,818,53.6,708,46.4,1526,3.37
QLD,163,Griffith,6331,Holland Park South,687,62.51,412,37.49,1099,-4.83
QLD,163,Griffith,37600,Holland Park West (Griffith),108,55.38,87,44.62,195,-4.69
QLD,163,Griffith,6318,Junction Park,721,63.58,413,36.42,1134,-1.88
QLD,163,Griffith,5578,Kangaroo Point,697,47.9,758,52.1,1455,1.09
QLD,163,Griffith,5582,Morningside,1295,53.49,1126,46.51,2421,-1.67
QLD,163,Griffith,5577,Morningside South,1070,49.38,1097,50.62,2167,-0.93
QLD,163,Griffith,37583,Mount Gravatt East (Griffith),180,48.26,193,51.74,373,-5.65
QLD,163,Griffith,37579,Murarrie (Griffith),215,50.23,213,49.77,428,1.53
QLD,163,Griffith,5586,Norman Park,878,45.85,1037,54.15,1915,-3.83
QLD,163,Griffith,5585,Norman Park South,536,51.05,514,48.95,1050,-1.68
QLD,163,Griffith,5589,Seven Hills,623,52.71,559,47.29,1182,0.81
QLD,163,Griffith,5590,South Brisbane,1088,64.11,609,35.89,1697,2.67
QLD,163,Griffith,32707,Special Hospital Team 1,50,49.5,51,50.5,101,-5.82
QLD,163,Griffith,38283,Special Hospital Team 2,112,46.47,129,53.53,241,-8.7
QLD,163,Griffith,65127,Special Hospital Team 3,38,34.55,72,65.45,110,-20.4
QLD,163,Griffith,65216,Special Hospital Team 4,77,49.68,78,50.32,155,-5.56
QLD,163,Griffith,6328,Stones Corner,820,57.14,615,42.86,1435,1.4
QLD,163,Griffith,37608,Wellers Hill (Griffith),494,50.77,479,49.23,973,2.1
QLD,163,Griffith,5592,West End,1933,68.33,896,31.67,2829,0.09
QLD,163,Griffith,6306,Whites Hill,1010,49.98,1011,50.02,2021,-0.72
QLD,163,Griffith,5579,Woolloongabba West,393,58.48,279,41.52,672,-2.41
